,ID,Count
0,18288,355.6929741756833
1,18289,283.8616022938866
2,18290,240.23434703797665
3,18291,198.49705836009005
4,18292,167.0755738806452
5,18293,149.5601980020408
6,18294,160.81782501026697
7,18295,186.50620017109244
8,18296,214.7735263815286
9,18297,277.5343228805043
10,18298,393.9284518695401
11,18299,436.72134060939976
12,18300,441.3482821984069
13,18301,390.3381474671413
14,18302,417.3665658204118
15,18303,412.0948864690022
16,18304,401.57681160000277
17,18305,410.9318301132954
18,18306,421.0453636411794
19,18307,446.7716645527346
20,18308,429.33214017558896
21,18309,400.7361241254968
22,18310,402.1899445701302
23,18311,392.6832230539195
24,18312,358.3589322550237
25,18313,285.98917631697134
26,18314,242.03492997022386
27,18315,199.98481570949173
28,18316,168.32782373764564
29,18317,150.68116818464094
30,18318,162.02317234916697
31,18319,187.90408471560872
32,18320,216.38327765427223
33,18321,279.61447324639863
34,18322,396.88098907210224
35,18323,439.9946152337193
36,18324,444.6562362603522
37,18325,393.2637749421469
38,18326,420.4947742725864
39,18327,415.18358310289824
40,18328,404.5866741024654
41,18329,414.01180951150417
42,18330,424.2011450888434
43,18331,450.1202674637003
44,18332,432.5500319275253
45,18333,403.73968558259855
46,18334,405.2044025718411
47,18335,395.62642712914254
48,18336,361.0248903343641
49,18337,288.116750340056
50,18338,243.835512902471
51,18339,201.4725730588933
52,18340,169.58007359464602
53,18341,151.80213836724107
54,18342,163.22851968806694
55,18343,189.30196926012496
56,18344,217.99302892701587
57,18345,281.69462361229284
58,18346,399.83352627466434
59,18347,443.26788985803887
60,18348,447.96419032229755
61,18349,396.18940241715234
62,18350,423.622982724761
63,18351,418.2722797367943
64,18352,407.596536604928
65,18353,417.0917889097128
66,18354,427.35692653650733
67,18355,453.46887037466604
68,18356,435.76792367946166
69,18357,406.74324703970024
70,18358,408.218860573552
71,18359,398.56963120436546
72,18360,363.6908484137046
73,18361,290.24432436314066
74,18362,245.63609583471822
75,18363,202.96033040829496
76,18364,170.83232345164643
77,18365,152.9231085498412
78,18366,164.43386702696696
79,18367,190.69985380464126
80,18368,219.6027801997595
81,18369,283.7747739781871
82,18370,402.78606347722655
83,18371,446.5411644823585
84,18372,451.27214438424295
85,18373,399.11502989215796
86,18374,426.75119117693566
87,18375,421.3609763706904
88,18376,410.60639910739076
89,18377,420.17176830792164
90,18378,430.51270798417124
91,18379,456.81747328563176
92,18380,438.985815431398
93,18381,409.7468084968019
94,18382,411.23331857526284
95,18383,401.51283527958844
96,18384,366.3568064930451
97,18385,292.3718983862254
98,18386,247.43667876696543
99,18387,204.44808775769656
100,18388,172.08457330864684
101,18389,154.04407873244133
102,18390,165.63921436586696
103,18391,192.09773834915754
104,18392,221.2125314725032
105,18393,285.8549243440814
106,18394,405.73860067978876
107,18395,449.81443910667815
108,18396,454.58009844618823
109,18397,402.0406573671635
110,18398,429.87939962911037
111,18399,424.4496730045866
112,18400,413.61626160985344
113,18401,423.25174770613035
114,18402,433.66848943183527
115,18403,460.1660761965975
116,18404,442.20370718333436
117,18405,412.75036995390366
118,18406,414.2477765769738
119,18407,404.4560393548115
120,18408,369.02276457238554
121,18409,294.49947240931004
122,18410,249.23726169921258
123,18411,205.9358451070982
124,18412,173.33682316564725
125,18413,155.16504891504147
126,18414,166.84456170476693
127,18415,193.49562289367378
128,18416,222.82228274524678
129,18417,287.9350747099756
130,18418,408.69113788235086
131,18419,453.08771373099773
132,18420,457.88805250813357
133,18421,404.966284842169
134,18422,433.00760808128496
135,18423,427.53836963848266
136,18424,416.62612411231606
137,18425,426.33172710433917
138,18426,436.82427087949924
139,18427,463.5146791075632
140,18428,445.4215989352707
141,18429,415.7539314110053
142,18430,417.2622345786846
143,18431,407.3992434300344
144,18432,371.68872265172604
145,18433,296.62704643239476
146,18434,251.0378446314598
147,18435,207.42360245649985
148,18436,174.58907302264765
149,18437,156.2860190976416
150,18438,168.04990904366693
151,18439,194.8935074381901
152,18440,224.43203401799047
153,18441,290.01522507586986
154,18442,411.643675084913
155,18443,456.36098835531726
156,18444,461.19600657007896
157,18445,407.89191231717456
158,18446,436.13581653345966
159,18447,430.6270662723788
160,18448,419.63598661477874
161,18449,429.4117065025479
162,18450,439.98005232716326
163,18451,466.86328201852893
164,18452,448.63949068720706
165,18453,418.75749286810697
166,18454,420.27669258039555
167,18455,410.3424475052574
168,18456,374.3546807310665
169,18457,298.7546204554794
170,18458,252.838427563707
171,18459,208.91135980590147
172,18460,175.8413228796481
173,18461,157.40698928024173
174,18462,169.25525638256693
175,18463,196.29139198270636
176,18464,226.04178529073408
177,18465,292.09537544176413
178,18466,414.5962122874751
179,18467,459.6342629796369
180,18468,464.50396063202436
181,18469,410.8175397921801
182,18470,439.2640249856343
183,18471,433.7157629062749
184,18472,422.64584911724137
185,18473,432.4916859007567
186,18474,443.1358337748273
187,18475,470.21188492949466
188,18476,451.8573824391435
189,18477,421.7610543252087
190,18478,423.29115058210647
191,18479,413.2856515804804
192,18480,377.020638810407
193,18481,300.88219447856414
194,18482,254.63901049595418
195,18483,210.39911715530314
196,18484,177.0935727366485
197,18485,158.52795946284186
198,18486,170.4606037214669
199,18487,197.68927652722266
200,18488,227.65153656347778
201,18489,294.1755258076584
202,18490,417.54874949003727
203,18491,462.90753760395654
